country,Poverty,Poverty,Poverty,Poverty,Poverty,Poverty,Fragility,Fragility,Fragility,Fragility,Fragility,Fragility,GNI per capita,GNI per capita,GNI per capita,GNI per capita,GNI per capita,GNI per capita,Region,Region,Region,Region,Region,Region
country,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType
Guinea-Bissau,856732.57,900155.73,920546.41,1174698.23,1092952.37,990274.21,85.4,85.4,88.8,91.3,94.8,97.2,443.49,439.78,446.95,469.44,510,510.39,SSA,SSA,SSA,SSA,SSA,SSA
Guyana,42838.87,48694.13,51752.49,40982.83,39269.41,40096.9,73.3,73.3,73.3,72.2,73,73,1216.74,1165.41,1362.14,1479.74,1472.98,1513.3,LAC,LAC,LAC,LAC,LAC,LAC
Haiti,5566595.27,5652203.58,5722521.27,5751911.55,5873846.22,5700005.43,99.2,104.6,100.9,99.3,101.8,101.6,501.48,560.72,653.4,662.31,646,664.64,LAC,LAC,LAC,LAC,LAC,LAC
Honduras,1529488.13,1278941.55,1221144.37,1190320.52,1175984.28,1241403.92,87.6,76.7,74.8,74.9,77.2,80,1592,1627.18,1734.6,1816.51,1800,1730.41,LAC,LAC,LAC,LAC,LAC,LAC
India,455854189,397813719.2,346039061.6,282435585.2,243988688.5,225487869.9,69.5,70.4,70.8,72.9,77.8,79.2,852.86,934.53,1053.53,1102.15,1180,1230.39,SA,SA,LAC,LAC,MENA,MENA
Indonesia,47001853.11,56942813.41,67106771.92,63065387.84,58598269.92,54835423.16,87,89.2,84.4,83.3,84.1,83.1,1330.46,1429.28,1617.54,1918.56,2050,2116.54,EAP,EAP,EAP,EAP,EAP,EAP
"Iran, Islamic Rep.",1003351.52,887159.18,761487.58,592704.22,475333.57,460518.82,83.8,84,82.8,85.7,90,92.2,2922.46,3254.36,3767.17,4204.51,4530,4501.33,MENA,MENA,MENA,MENA,MENA,MENA
Jamaica,5679.81,4202.37,3192.23,1322.1,890.87,1027.26,66.8,66.8,65.1,65.7,68.6,67.4,4446.23,4628.67,4682.35,4939.28,4590,4419.58,LAC,LAC,LAC,LAC,LAC,LAC
Jordan,23215.34,20810.21,18154.33,16604.88,16026.04,16149.7,77,77,76.6,77.3,77.9,77,2831.49,3023.48,3298.93,3735.08,3980,3981.35,MENA,MENA,MENA,MENA,MENA,MENA
Kazakhstan,67222.39,47975.59,32300.04,23385.61,19875.89,21804.83,78.3,71.9,72.3,72.4,72.5,72.7,3331.83,4243.87,5288.93,6265.95,6920,6994.61,ECA,ECA,ECA,ECA,ECA,ECA
Kenya,7052718.75,6655257.47,6097270.95,5583057.76,5990999.3,5977502.99,92.7,88.6,91.3,93.4,101.4,100.7,591.31,626.69,702.35,744.97,760,765.07,SSA,SSA,SSA,SSA,SSA,SSA
Kyrgyz Republic,882979.5,664905.52,193122.24,156880.3,7854.32,50321.62,80.4,90.3,88.2,88.8,63.4,88.4,511.71,549.72,659.79,806.21,870,878.02,ECA,ECA,ECA,ECA,ECA,ECA
Lao P.D.R.,1940901.35,1767649.04,1526494.71,1322730.49,1128114.41,953706.05,91.5,87.9,87.2,88.7,89,88.7,511.71,560.72,649.14,765.38,880,929.67,EAP,EAP,EAP,EAP,EAP,EAP
Lesotho,607308.91,602071.47,587429.26,523728.18,463312.16,488278.61,81.2,81.2,81.2,81.7,81.8,82.2,864.23,989.5,1021.6,1030.72,980,970.33,SSA,SSA,SSA,SSA,SSA,SSA
Liberia,2841529.36,2942100.68,3034164.58,3108249.85,3202576.14,3333403.88,99.5,99,92.9,91,91.8,91.7,136.46,131.93,159.63,173.49,160,160.55,SSA,SSA,SSA,SSA,SSA,SSA
"Macedonia, FYR",27098.14,23258.13,20169.92,16749.21,14505.72,15955.22,75.1,75.1,74.1,74.6,74.4,72.7,3229.49,3419.28,3692.67,4204.51,4400,4351.99,ECA,ECA,ECA,ECA,ECA,ECA
Madagascar,11948525.16,12760265.03,13584432.52,15042618.68,15297573.51,16045953.18,76.5,76.5,76.5,76.7,81.6,82.6,352.51,329.83,361.82,428.62,438.74,411.15,SSA,SSA,SSA,SSA,SSA,SSA
Malawi,9620391.19,11134309.34,11853307.81,12861060.71,12939968.48,12942531.61,89.8,89.8,92.2,92.9,93.8,93.6,238.8,241.88,266.04,265.33,280,295.47,SSA,SSA,SSA,SSA,SSA,SSA
Malaysia,74336.8,42273.48,29025.33,15668.32,9833.49,10810.79,73.6,66.1,65.9,67.2,68.9,69.2,5913.14,6288.84,6831.98,7419.13,7350,7099.05,EAP,EAP,EAP,EAP,EAP,EAP
Mali,6217940.82,6232217.96,6964137.49,7776452.97,7759513.87,7882789.84,74.6,74.6,75.5,75.6,78.7,79.3,500.34,505.75,564.01,622.51,680,694.6,SSA,SSA,SSA,SSA,SSA,SSA
Mauritania,599814.15,378913.69,15113.21,61182.2,48759.85,31872.38,87.8,87.8,86.7,86.1,88.7,89.1,682.29,835.58,893.9,1000.1,960,926.9,SSA,SSA,SSA,SSA,SSA,SSA
Mexico,1776225.75,674937.53,2799533.09,4967241.56,4872786.54,5990560.35,74.6,73.1,72.6,72.2,75.4,76.1,9188.11,9598.18,10003.21,10205.13,8960,8284.55,LAC,LAC,LAC,LAC,LAC,LAC
Moldova,201714.32,119384.11,85301.66,72111.47,55703,78684.33,82.5,82.5,85.7,85.7,85.1,83.8,1012.06,1132.43,1234.44,1530.77,1560,1460.5,ECA,ECA,ECA,ECA,ECA,ECA
Mongolia,21056.12,54899.83,87039.73,42700.54,25919.05,21143.75,58.4,58.4,58.4,57.8,61.9,60.1,921.09,1110.44,1362.14,1704.26,1630,1579.67,EAP,EAP,EAP,EAP,EAP,EAP
Morocco,1004870.94,973843.18,781415.23,717826.75,589527.49,522774.39,78.9,76.5,76,75.8,77.1,77,2217.43,2330.83,2373.1,2571.69,2770,2883.58,MENA,MENA,MENA,MENA,MENA,MENA
Mozambique,14225818.15,14008001.82,13431221.76,12830518.45,12841111.88,12753230.9,87.5,74.8,76.9,76.8,80.7,81.7,329.77,340.83,361.82,387.79,440,459.07,SSA,SSA,SSA,SSA,SSA,SSA
